,Topic,Score,positive_documents,documents,positive_percentage,colors
2,JISOO,3800.4393088519846,16641,19682,0.8454933441723402,#42ac5a
14,event,1375.8553796897554,5675,6333,0.8960997947260382,#1b9950
0,suit,6758.283333333333,132,5456,0.024193548387096774,#b10b26
1,convention,6667.395833333333,47,5346,0.008791619902731014,#a90426
48,porn,603.1491071428572,8,5307,0.0015074429998115696,#a50026
9,collection,2036.0441331695067,4189,4417,0.9483812542449627,#0d8044
45,creative,639.4713168775664,4342,4402,0.9863698318945934,#036e3a
25,WILD,874.1687499999938,3483,4192,0.830868320610687,#4eb15d
42,SEOUL,670.9395833333343,3600,4120,0.8737864077669902,#2da155
46,Popup,621.4958333333334,3100,3749,0.8268871699119765,#51b35e
13,Brand,1538.2992386215737,2882,3026,0.9524124256444151,#0c7f43
3,dawg put a suit,3725.1499999999996,1,2711,0.00036886757654002215,#a50026
4,porn convention bro,3723.5,0,2708,0.0,#a50026
7,pulling,3322.0625,82,2685,0.030540037243947857,#b30d26
5,porn convention,3572.25,7,2598,0.0026943802925327174,#a50026
